YYYYMMDD	Kp[8]								Sum	ap[8]								Ap
20121201	1	1	0+	0+	1-	1-	2+	2+	9-	4	4	2	2	3	3	9	9	4
20121202	3-	3-	3-	3-	2	1-	0+	0	14-	12	12	12	12	7	3	2	0	8
20121203	0+	1	1+	1-	1	1	1-	1+	7+	2	4	5	3	4	4	3	5	4
20121204	1+	3-	2	0+	0+	0	0+	0	7	5	12	7	2	2	0	2	0	4
20121205	0	0	0	0+	0	0	1-	1+	2+	0	0	0	2	0	0	3	5	1
20121206	0	0	0	0+	0+	0	0	0	1-	0	0	0	2	2	0	0	0	0
20121207	0	0	0	0	0	0	1-	0	1-	0	0	0	0	0	0	3	0	0
20121208	0	0+	0	0+	0	0	0	0+	1	0	2	0	2	0	0	0	2	1
20121209	1-	1+	0	1-	1-	1	1	3-	8	3	5	0	3	3	4	4	12	4
20121210	2+	1-	1-	1-	0+	0+	1-	0+	6	9	3	3	3	2	2	3	2	3
20121211	1+	1	0	0	0	0	1-	0+	3+	5	4	0	0	0	0	3	2	2
20121212	0	0	1-	0+	1-	0+	0	1-	3-	0	0	3	2	3	2	0	3	2
20121213	2-	1	0	0	0+	0+	1-	0+	4+	6	4	0	0	2	2	3	2	2
20121214	1	1	1-	0+	0	0+	1	2-	6	4	4	3	2	0	2	4	6	3
20121215	2	3-	2-	2-	3	2	2+	2+	18-	7	12	6	6	15	7	9	9	9
20121216	1+	0+	1+	2-	2-	2	2-	1	11	5	2	5	6	6	7	6	4	5
20121217	2+	3-	3-	4-	4-	2+	1-	1-	19-	9	12	12	22	22	9	3	3	12
20121218	2-	2	2-	2+	2-	2+	0+	1+	13+	6	7	6	9	6	9	2	5	6
20121219	1	2+	1	1	1+	1	1	0+	9	4	9	4	4	5	4	4	2	4
20121220	0+	2-	2-	2-	3	3	2	2-	15	2	6	6	6	15	15	7	6	8
20121221	2+	1+	1	1	0+	1-	0+	0+	7+	9	5	4	4	2	3	2	2	4
20121222	0	0	0+	0+	0	0+	0	0	1	0	0	2	2	0	2	0	0	1
20121223	0	0	0	0+	1-	1	0+	0	2+	0	0	0	2	3	4	2	0	1
20121224	0	0	0	0+	0+	2+	1-	0+	4	0	0	0	2	2	9	3	2	2
20121225	1	1-	0	0+	0	1-	1	1+	5	4	3	0	2	0	3	4	5	3
20121226	0+	2-	1-	1-	1	0	0	1-	5	2	6	3	3	4	0	0	3	3
20121227	1-	0	0	0	0	0	0	0	1-	3	0	0	0	0	0	0	0	0
20121228	0	0	0	0+	0+	0	1	1-	2+	0	0	0	2	2	0	4	3	1
20121229	0+	1+	1	1	0+	0	0	1+	5+	2	5	4	4	2	0	0	5	3
20121230	1+	0+	1-	1+	2	2	2-	0+	10-	5	2	3	5	7	7	6	2	5
20121231	0	0	0	0+	0	0+	0+	0+	1+	0	0	0	2	0	2	2	2	1
20130101	0	0	0	0	0+	0	0	0	0+	0	0	0	0	2	0	0	0	0
20130102	0	0	1	1	1-	1-	1	1	5+	0	0	4	4	3	3	4	4	3
20130103	1-	1-	0	0	1-	0	0	0	2	3	3	0	0	3	0	0	0	1
20130104	1-	0	0	0+	0	0	1-	1-	2+	3	0	0	2	0	0	3	3	1
20130105	0	0+	0+	0+	0	0	0+	0	1+	0	2	2	2	0	0	2	0	1
20130106	0	0	0	1-	1	1	2-	1	5+	0	0	0	3	4	4	6	4	3
20130107	1-	0	0+	0+	1-	0	0+	1-	3	3	0	2	2	3	0	2	3	2
