lat	lon	on2	fdoy
1.6618738	149.11942	0.5033084	29.945919
1.8404351	149.15762	0.5383198	29.945953
2.0196526	149.19603	0.48862	29.94599
2.1981347	149.23499	0.54134166	29.946024
2.377317	149.27242	0.54318404	29.946058
2.5563884	149.31078	0.5012262	29.946093
2.7354121	149.3488	0.5157027	29.946127
2.9145975	149.38641	0.58613336	29.946163
3.0934489	149.42465	0.5545875	29.946198
3.2725973	149.46263	0.47236857	29.946232
3.451136	149.50089	0.57113576	29.946266
3.6307123	149.53876	0.5394001	29.9463
3.809924	149.57578	0.5952965	29.946337
3.9885578	149.6141	0.55013084	29.946371
4.167848	149.65137	0.52014756	29.946405
4.3467917	149.6897	0.47747955	29.94644
4.5260553	149.72717	0.54775584	29.946474
4.7052617	149.76472	0.5427035	29.94651
4.8841176	149.80252	0.4884781	29.946545
5.0634713	149.84053	0.5706717	29.946579
5.2426467	149.87793	0.48169807	29.946613
5.4216413	149.91592	0.57479465	29.946648
5.601091	149.95331	0.5028962	29.946684
5.780212	149.99084	0.5497776	29.946718
5.9590755	150.029	0.54704046	29.946753
6.138538	150.0662	0.5229547	29.946787
6.3185315	150.10332	0.49889347	29.946821
6.497297	150.14081	0.5701599	29.946857
6.6761765	150.1784	0.4800286	29.946892
6.8552165	150.21652	0.54395676	29.946926
7.034789	150.2534	0.5193651	29.94696
7.2132964	150.29176	0.43893138	29.946995
7.393416	150.32784	0.49399927	29.947031
7.5723963	150.3661	0.53352726	29.947065
7.75156	150.40291	0.5455681	29.9471
7.930973	150.44109	0.50068605	29.947134
8.110337	150.47841	0.50145006	29.94717
8.289173	150.5158	0.5282632	29.947205
8.469162	150.55247	0.5805398	29.947239
8.648323	150.59056	0.56623745	29.947273
8.82769	150.62862	0.56980824	29.947308
9.006818	150.6651	0.49605355	29.947344
9.186018	150.70268	0.60221577	29.947378
9.365425	150.74017	0.4855903	29.947412
9.545032	150.77716	0.5450481	29.947447
9.724302	150.81458	0.53053534	29.947481
9.903738	150.85225	0.5770954	29.947517
10.082772	150.8896	0.4855275	29.947552
10.262395	150.92714	0.4976239	29.947586
10.441385	150.96484	0.4588563	29.94762
10.621189	151.00226	0.57625103	29.947655
10.800512	151.03944	0.51628613	29.947691
10.980137	151.07645	0.55118954	29.947725
11.159368	151.11446	0.5503521	29.94776
11.338795	151.1519	0.5337242	29.947794
11.518149	151.18988	0.5005573	29.947828
11.697663	151.22672	0.5304322	29.947865
11.876955	151.2645	0.56088877	29.947899
12.056118	151.30156	0.51218545	29.947933
12.235908	151.33994	0.53123796	29.947968
12.414965	151.37723	0.56883574	29.948002
12.594591	151.41415	0.55784535	29.948038
12.773811	151.45235	0.5262655	29.948072
12.953541	151.48996	0.51926315	29.948107
13.132595	151.52725	0.4593483	29.948141
13.312206	151.56444	0.46160266	29.948175
13.4919405	151.60277	0.50445044	29.948212
13.671268	151.6399	0.5046009	29.948246
13.850576	151.67793	0.50636196	29.94828
14.029753	151.71585	0.5392792	29.948315
14.209595	151.75327	0.5332813	29.948349
14.388602	151.79166	0.4842787	29.948385
14.568115	151.82912	0.5061922	29.94842
14.747369	151.8671	0.51925874	29.948454
14.927258	151.90489	0.5452852	29.948488
