          Time     Obs   IRTAM     IRI DifIRTAM  DifIRI  Expand  DifExp    conf
20020208_00:00    6.53    5.20    4.83     1.34    1.71    6.44    0.09   42.00
20020207_00:15    6.45    5.11    4.76     1.34    1.69    6.25    0.20  100.00
20020207_00:30    6.30    5.03    4.70     1.27    1.60    6.07    0.23  100.00
20020207_00:45    6.35    4.97    4.65     1.38    1.70    5.91    0.44  100.00
20020207_01:00    5.80    4.92    4.61     0.88    1.19    5.78    0.02  100.00
20020207_01:15    5.35    4.89    4.57     0.46    0.78    5.68   -0.33  100.00
20020207_01:30    5.80    4.86    4.54     0.94    1.26    5.62    0.18  100.00
20020207_01:45    5.35    4.85    4.51     0.50    0.84    5.61   -0.26  100.00
20020207_02:00    4.80    4.84    4.49    -0.04    0.31    5.63   -0.83  100.00
20020207_02:15    6.10    4.85    4.47     1.25    1.63    5.69    0.41  100.00
20020207_02:30    5.58    4.86    4.46     0.72    1.12    5.77   -0.19   42.00
20020207_02:45    5.92    4.88    4.44     1.04    1.48    5.85    0.07   42.00
20020207_03:00    6.00    4.90    4.43     1.10    1.57    5.93    0.07   42.00
20020207_03:15    6.08    4.91    4.41     1.17    1.66    5.99    0.08   42.00
20020207_03:30    6.15    4.91    4.40     1.24    1.75    6.02    0.13   42.00
20020207_03:45    6.35    4.91    4.38     1.44    1.97    6.02    0.33  100.00
20020207_04:00    6.10    4.89    4.35     1.21    1.75    5.97    0.13  100.00
20020207_04:15    5.90    4.85    4.32     1.05    1.58    5.88    0.02  100.00
20020207_04:30    5.90    4.79    4.28     1.11    1.62    5.75    0.15  100.00
20020207_04:45    5.30    4.72    4.24     0.58    1.06    5.60   -0.30  100.00
20020207_05:00    4.95    4.64    4.18     0.31    0.77    5.43   -0.48  100.00
20020207_05:15    5.30    4.54    4.11     0.76    1.19    5.27    0.03  100.00
20020207_05:30    5.03    4.43    4.04     0.60    0.99    5.11   -0.08   42.00
20020207_05:45    5.00    4.33    3.97     0.67    1.03    4.98    0.01   42.00
20020207_06:00    4.70    4.22    3.89     0.48    0.81    4.88   -0.18  100.00
20020207_06:15    4.95    4.13    3.80     0.82    1.15    4.82    0.13  100.00
20020207_06:30    5.05    4.05    3.73     1.00    1.32    4.79    0.26  100.00
20020207_06:45    5.05    3.98    3.65     1.07    1.40    4.78    0.27  100.00
20020207_07:00    4.93    3.94    3.59     0.99    1.34    4.81    0.12   42.00
20020207_07:15    4.70    3.91    3.54     0.79    1.16    4.85   -0.15  100.00
20020207_07:30    4.95    3.90    3.50     1.05    1.45    4.89    0.06  100.00
20020207_07:45    4.75    3.91    3.49     0.84    1.26    4.93   -0.18  100.00
20020207_08:00    4.90    3.93    3.49     0.97    1.41    4.95   -0.05  100.00
20020207_08:15    4.85    3.96    3.51     0.89    1.34    4.97   -0.12  100.00
20020207_08:30    4.85    4.01    3.55     0.84    1.30    4.96   -0.11  100.00
20020207_08:45    4.95    4.07    3.62     0.88    1.33    4.94    0.01   42.00
20020207_09:00    4.80    4.13    3.71     0.67    1.09    4.91   -0.11  100.00
20020207_09:15    5.35    4.21    3.82     1.14    1.53    4.88    0.47  100.00
20020207_09:30    4.95    4.30    3.95     0.65    1.00    4.85    0.10  100.00
20020207_09:45    4.60    4.40    4.10     0.20    0.50    4.83   -0.23  100.00
20020207_10:00    4.78    4.52    4.28     0.26    0.50    4.83   -0.06   42.00
20020207_10:15    4.80    4.65    4.47     0.15    0.33    4.87   -0.07  100.00
20020207_10:30    4.80    4.81    4.68    -0.01    0.12    4.93   -0.13  100.00
20020207_10:45    5.35    5.00    4.90     0.35    0.45    5.03    0.32   50.00
20020207_11:00    4.70    5.21    5.14    -0.51   -0.44    5.17   -0.47   50.00
20020207_11:15    5.05    5.44    5.38    -0.39   -0.33    5.36   -0.31   50.00
20020207_11:30    6.30    5.70    5.64     0.60    0.66    5.59    0.71   50.00
20020207_11:45    6.30    5.98    5.89     0.32    0.41    5.86    0.44   50.00
20020207_12:00    6.75    6.27    6.15     0.48    0.60    6.18    0.57   50.00
20020207_12:15    5.90    6.58    6.40    -0.68   -0.50    6.55   -0.65   50.00
20020207_12:30    6.75    6.89    6.64    -0.14    0.11    6.96   -0.21   50.00
20020207_12:45    7.00    7.21    6.87    -0.21    0.13    7.42   -0.42   50.00
20020207_13:00    7.70    7.52    7.08     0.18    0.62    7.90   -0.20   70.00
20020207_13:15    8.10    7.81    7.27     0.29    0.83    8.41   -0.31   50.00
20020207_13:30    8.65    8.09    7.45     0.56    1.20    8.93   -0.28   50.00
20020207_13:45   10.15    8.35    7.60     1.80    2.55    9.45    0.70   50.00
20020207_14:00   10.65    8.59    7.73     2.06    2.92    9.94    0.71   50.00
20020207_14:15   10.65    8.79    7.83     1.86    2.82   10.38    0.27   50.00
20020207_14:30   10.60    8.95    7.92     1.65    2.68   10.75   -0.15   50.00
20020207_14:45   10.85    9.08    7.99     1.77    2.86   11.03   -0.18   50.00
20020207_15:00   10.90    9.16    8.04     1.74    2.86   11.21   -0.31   50.00
20020207_15:15   11.30    9.21    8.08     2.09    3.22   11.27    0.03   50.00
20020207_15:30   11.20    9.21    8.10     1.99    3.10   11.21   -0.01   70.00
20020207_15:45   10.88    9.17    8.12     1.70    2.75   11.04   -0.16   70.00
20020207_16:00   10.80    9.10    8.13     1.70    2.67   10.76    0.04  100.00
20020207_16:15   10.62    8.99    8.13     1.64    2.50   10.38    0.24   70.00
20020207_16:30    9.32    8.86    8.12     0.47    1.21    9.95   -0.63   70.00
20020207_16:45    9.32    8.70    8.10     0.63    1.23    9.48   -0.16  100.00
20020207_17:00    9.43    8.53    8.07     0.89    1.35    9.01    0.42   70.00
20020207_17:15    8.98    8.36    8.03     0.62    0.94    8.56    0.41   70.00
20020207_17:30    8.27    8.19    7.99     0.09    0.29    8.16    0.11   70.00
20020207_17:45    7.88    8.02    7.93    -0.15   -0.06    7.84    0.04   70.00
20020207_18:00    7.00    7.87    7.86    -0.87   -0.86    7.59   -0.59  100.00
20020207_18:15    7.80    7.74    7.78     0.06    0.02    7.44    0.36  100.00
20020207_18:30    7.05    7.63    7.69    -0.58   -0.64    7.37   -0.32   50.00
20020207_18:45    8.35    7.54    7.58     0.81    0.77    7.37    0.98   70.00
20020207_19:00    6.72    7.47    7.47    -0.74   -0.74    7.44   -0.71   70.00
20020207_19:15    7.68    7.41    7.34     0.27    0.34    7.55    0.13   42.00
20020207_19:30    7.41    7.35    7.21     0.06    0.20    7.68   -0.27   42.00
20020207_19:45    7.61    7.30    7.07     0.31    0.55    7.82   -0.21   42.00
20020207_20:00    7.81    7.25    6.92     0.56    0.89    7.94   -0.13   42.00
20020207_20:15    8.00    7.19    6.77     0.81    1.23    8.04   -0.04   42.00
20020207_20:30    8.19    7.11    6.61     1.08    1.58    8.10    0.08   42.00
20020207_20:45    8.30    7.02    6.45     1.28    1.85    8.13    0.17  100.00
20020207_21:00    8.45    6.91    6.29     1.54    2.16    8.12    0.33  100.00
20020207_21:15    8.30    6.78    6.14     1.52    2.16    8.08    0.22  100.00
20020207_21:30    8.11    6.64    5.98     1.47    2.13    8.00    0.11   42.00
20020207_21:45    7.85    6.49    5.83     1.36    2.02    7.91   -0.06  100.00
20020207_22:00    7.68    6.33    5.69     1.36    2.00    7.79   -0.11   42.00
20020207_22:15    7.57    6.16    5.55     1.41    2.02    7.66   -0.09   42.00
20020207_22:30    7.05    6.00    5.42     1.05    1.63    7.51   -0.46  100.00
20020207_22:45    7.70    5.83    5.30     1.87    2.40    7.36    0.34  100.00
20020207_23:00    6.95    5.68    5.18     1.27    1.77    7.19   -0.24  100.00
20020207_23:15    6.85    5.54    5.08     1.31    1.77    7.01   -0.16  100.00
20020207_23:30    6.70    5.41    4.99     1.29    1.71    6.83   -0.13  100.00
20020207_23:45    6.70    5.30    4.90     1.40    1.80    6.64    0.06  100.00
