time,N_sat,C1,L1,D1,P2,L2,D2
1.008,G31,23360477.759,122760166.032,-2423.918,23360477.026,95657264.033,-1888.766
1.008,G23,-1888.766,0,0,0,0,20186435.679
1.008,G13,20186435.679,106080460.197,713.750,20186432.382,82660095.622,556.163
1.008,G20,556.163,0,0,0,0,21271981.251
1.008,G32,21271981.251,111785029.399,2510.808,21271981.070,87105217.314,1956.473
1.008,G 4,1956.473,0,0,0,0,20833045.572
1.008,R10,20833045.572,109478406.117,-1930.034,20833045.082,85307851.726,-1503.926
1.008,R11,-1503.926,0,0,0,0,22538498.750
1.008,R17,22538498.750,118440617.902,-2597.858,22538499.136,92291389.324,-2024.304
1.017,G17,24573571.069,129134987.434,-3078.063,24573572.999,100624672.000,-2398.491
1.017,G31,-2398.491,0,0,0,0,23374356.160
1.017,G23,23374356.160,122833097.580,-2437.922,23374355.545,95714093.810,-1899.684
1.017,G13,-1899.684,0,0,0,0,20182404.172
1.017,G20,20182404.172,106059274.486,698.758,20182400.970,82643587.291,544.483
1.017,G32,544.483,0,0,0,0,21257682.008
1.017,G 4,21257682.008,111709886.434,2499.070,21257681.781,87046664.395,1947.323
1.017,R10,1947.323,0,0,0,0,20844100.043
1.017,R11,20844100.043,109536498.161,-1942.254,20844099.543,85353118.240,-1513.445
1.017,R17,-1513.445,0,0,0,0,22553348.904
1.025,G31,23388314.469,122906449.241,-2452.309,23388313.255,95771250.986,-1910.886
1.025,G23,-1910.886,0,0,0,0,20178463.799
1.025,G13,20178463.799,106038567.964,681.925,20178460.715,82627452.353,531.371
1.025,G20,531.371,0,0,0,0,21243455.114
1.025,G32,21243455.114,111635124.534,2485.522,21243454.811,86988408.394,1936.773
1.025,G 4,1936.773,0,0,0,0,20855228.645
1.025,R10,20855228.645,109594979.107,-1956.223,20855228.036,85398687.775,-1524.331
1.025,R11,-1524.331,0,0,0,0,22568238.869
1.025,R17,22568238.869,118596904.096,-2611.612,22568239.469,92413170.702,-2035.026
1.033,G31,23402352.409,122980218.705,-2466.344,23402351.281,95828733.636,-1921.836
1.033,G23,-1921.836,0,0,0,0,20174614.719
1.033,G13,20174614.719,106018340.945,665.761,20174611.711,82611691.047,518.770
1.033,G20,518.770,0,0,0,0,21229301.160
1.033,G32,21229301.160,111560744.976,2472.246,21229300.874,86930450.329,1926.422
1.033,G 4,1926.422,0,0,0,0,20866431.226
1.033,R10,20866431.226,109653848.318,-1969.175,20866430.606,85444559.866,-1534.429
1.033,R11,-1534.429,0,0,0,0,22583168.639
2.492,G25,1035.773,0,0,0,0,22264296.511
2.492,G 2,22264296.511,116999670.256,1114.159,22264293.723,91168563.089,868.171
2.492,G 7,868.171,0,0,0,0,21931550.364
2.492,G23,21931550.364,115251086.667,2962.953,21931549.899,89806035.881,2308.789
2.492,G13,2308.789,0,0,0,0,20845088.055
2.492,G20,20845088.055,109541705.792,-1878.319,20845085.046,85357170.459,-1463.629
2.492,G 4,-1463.629,0,0,0,0,20022115.091
2.492,G16,20022115.091,105216943.739,-123.401,20022113.851,81987230.206,-96.151
2.492,G27,-96.151,0,0,0,0,23769845.827
2.492,R19,23769845.827,124911385.245,-3611.437,23769844.883,97333537.690,-2814.090
2.492,R13,-2814.090,0,0,0,0,22092903.670
2.492,R11,22092903.670,116098984.641,-1914.925,22092903.772,90466734.766,-1492.151
2.492,G25,20914232.531,109905045.844,1329.246,20914232.306,85640307.368,1035.773
2.492,G 2,1035.773,0,0,0,0,22264296.511
2.492,G 7,22264296.511,116999670.256,1114.159,22264293.723,91168563.089,868.171
2.492,G23,868.171,0,0,0,0,21931550.364
2.492,G13,21931550.364,115251086.667,2962.953,21931549.899,89806035.881,2308.789
2.492,G20,2308.789,0,0,0,0,20845088.055
2.492,G 4,20845088.055,109541705.792,-1878.319,20845085.046,85357170.459,-1463.629
2.492,G16,-1463.629,0,0,0,0,20022115.091
2.492,G27,20022115.091,105216943.739,-123.401,20022113.851,81987230.206,-96.151
2.492,R19,-96.151,0,0,0,0,23769845.827
2.492,R13,23769845.827,124911385.245,-3611.437,23769844.883,97333537.690,-2814.090
2.492,R11,-2814.090,0,0,0,0,22092903.670
2.492,G31,22092903.670,116098984.641,-1914.925,22092903.772,90466734.766,-1492.151
