time,N_sat,C1,L1,D1,P2,L2,D2
0.008,G31,23360477.759,122760166.032,-2423.918,23360477.026,95657264.033,-1888.766
0.008,G23,20186435.679,106080460.197,713.750,20186432.382,82660095.622,556.163
0.008,G13,21271981.251,111785029.399,2510.808,21271981.070,87105217.314,1956.473
0.008,G20,20833045.572,109478406.117,-1930.034,20833045.082,85307851.726,-1503.926
0.008,G32,22538498.750,118440617.902,-2597.858,22538499.136,92291389.324,-2024.304
0.008,G 4,21865376.163,114903327.365,1504.590,21865376.197,89535055.630,1172.405
0.008,R10,21861456.551,116985086.490,-3081.397,21861459.225,90988423.125,-2396.648
0.008,R11,20044971.253,107114262.467,1042.792,20044974.309,83311115.011,811.063
0.008,R17,20520641.719,119474308.132,-3128.862,20520642.626,92924466.783,-2433.563
0.017,G17,24573571.069,129134987.434,-3078.063,24573572.999,100624672.000,-2398.491
0.017,G31,23374356.160,122833097.580,-2437.922,23374355.545,95714093.810,-1899.684
0.017,G23,20182404.172,106059274.486,698.758,20182400.970,82643587.291,544.483
0.017,G13,21257682.008,111709886.434,2499.070,21257681.781,87046664.395,1947.323
0.017,G20,20844100.043,109536498.161,-1942.254,20844099.543,85353118.240,-1513.445
0.017,G32,22553348.904,118518656.458,-2604.727,22553349.061,92352198.567,-2029.655
0.017,G 4,21856838.245,114858459.958,1486.828,21856838.174,89500094.010,1158.565
0.017,R10,21878783.048,117077803.886,-3099.480,21878785.729,91060536.675,-2410.707
0.017,R11,20039194.970,107083396.262,1015.249,20039198.042,83287107.981,789.641
0.017,R17,20536807.323,119568429.844,-3146.058,20536809.097,92997675.517,-2446.934
0.025,G31,23388314.469,122906449.241,-2452.309,23388313.255,95771250.986,-1910.886
0.025,G23,20178463.799,106038567.964,681.925,20178460.715,82627452.353,531.371
0.025,G13,21243455.114,111635124.534,2485.522,21243454.811,86988408.394,1936.773
0.025,G20,20855228.645,109594979.107,-1956.223,20855228.036,85398687.775,-1524.331
0.025,G32,22568238.869,118596904.096,-2611.612,22568239.469,92413170.702,-2035.026
0.025,G 4,21848402.401,114814129.518,1468.534,21848402.246,89465550.796,1144.312
0.025,R10,21896216.278,117171092.560,-3119.288,21896219.264,91133094.538,-2426.113
0.025,R11,20033575.122,107053366.186,986.832,20033578.416,83263751.267,767.535
0.025,R17,20553064.205,119663078.863,-3163.465,20553065.163,93071288.588,-2460.477
0.033,G31,23402352.409,122980218.705,-2466.344,23402351.281,95828733.636,-1921.836
0.033,G23,20174614.719,106018340.945,665.761,20174611.711,82611691.047,518.770
0.033,G13,21229301.160,111560744.976,2472.246,21229300.874,86930450.329,1926.422
0.033,G20,20866431.226,109653848.318,-1969.175,20866430.606,85444559.866,-1534.429
0.033,G32,22583168.639,118675359.972,-2619.016,22583168.998,92474305.129,-2040.797
0.033,G 4,21840069.070,114770337.535,1450.223,21840068.955,89431427.174,1130.043
0.033,R10,21913755.544,117264948.746,-3138.637,21913758.740,91206093.766,-2441.163
0.033,R11,20028111.977,107024173.421,958.612,20028115.310,83241045.806,745.590
1.492,G25,20914232.531,109905045.844,1329.246,20914232.306,85640307.368,1035.773
1.492,G 2,22264296.511,116999670.256,1114.159,22264293.723,91168563.089,868.171
1.492,G 7,21931550.364,115251086.667,2962.953,21931549.899,89806035.881,2308.789
1.492,G23,20845088.055,109541705.792,-1878.319,20845085.046,85357170.459,-1463.629
1.492,G13,20022115.091,105216943.739,-123.401,20022113.851,81987230.206,-96.151
1.492,G20,23769845.827,124911385.245,-3611.437,23769844.883,97333537.690,-2814.090
1.492,G 4,22092903.670,116098984.641,-1914.925,22092903.772,90466734.766,-1492.151
1.492,G16,23396034.327,122946991.027,295.977,23396032.902,95802845.307,230.632
1.492,G27,22406599.225,117747474.534,2763.129,22406599.311,91751271.746,2153.086
1.492,R19,22774044.306,121825778.263,-658.718,22774043.792,94753382.897,-512.340
1.492,R13,20309656.048,118207825.315,4231.984,20309660.097,91939432.890,3291.542
1.492,R11,21377178.304,114233182.654,-3326.305,21377182.400,88848054.111,-2587.129
1.492,G25,20914232.531,109905045.844,1329.246,20914232.306,85640307.368,1035.773
1.492,G 2,22264296.511,116999670.256,1114.159,22264293.723,91168563.089,868.171
1.492,G 7,21931550.364,115251086.667,2962.953,21931549.899,89806035.881,2308.789
1.492,G23,20845088.055,109541705.792,-1878.319,20845085.046,85357170.459,-1463.629
1.492,G13,20022115.091,105216943.739,-123.401,20022113.851,81987230.206,-96.151
1.492,G20,23769845.827,124911385.245,-3611.437,23769844.883,97333537.690,-2814.090
1.492,G 4,22092903.670,116098984.641,-1914.925,22092903.772,90466734.766,-1492.151
1.492,G16,23396034.327,122946991.027,295.977,23396032.902,95802845.307,230.632
1.492,G27,22406599.225,117747474.534,2763.129,22406599.311,91751271.746,2153.086
1.492,R19,22774044.306,121825778.263,-658.718,22774043.792,94753382.897,-512.340
1.492,R13,20309656.048,118207825.315,4231.984,20309660.097,91939432.890,3291.542
1.492,R11,21377178.304,114233182.654,-3326.305,21377182.400,88848054.111,-2587.129
1.492,G31,21377178.304,114233182.654,-3326.305,21377182.400,88848054.111,-2587.129
