time,N_sat,L1,L2,P1,P2,C1
0.000,G05,127738338.509,99536373.536,0,24307798.040,24307797.967
0.000,G13,106408685.405,82915871.378,0,20248892.129,20248893.813
0.000,G15,112192536.731,87422759.019,0,21349526.861,21349527.942
0.000,G17,126459587.628,98539933.795,0,24064457.042,24064457.095
0.000,G18,128664015.804,100257671.303,0,24483945.528,24483947.268
0.000,G20,119493996.526,93112180.180,0,22738949.714,22738951.613
0.000,G24,127869876.661,99638870.657,0,24332830.998,24332828.976
0.000,G28,110511611.706,86112948.018,0,21029653.004,21029654.960
0.000,G30,116414369.132,90712509.823,0,22152911.356,22152910.162
0.008,G05,127844685.460,99619241.306,0,24328035.013,24328035.142
0.008,G13,106413615.346,82919712.897,0,20249830.275,20249831.902
0.008,G15,112143100.019,87384236.909,0,21340119.284,21340120.377
0.008,G17,126364384.774,98465749.802,0,24046340.492,24046340.386
0.008,G18,128609273.266,100215014.767,0,24473528.138,24473530.157
0.008,G20,119556193.026,93160644.971,0,22750785.532,22750787.451
0.008,G24,127766613.702,99558406.051,0,24313180.643,24313178.664
0.008,G28,110541072.116,86135904.185,0,21035259.112,21035261.143
0.008,G30,116496481.129,90776493.186,0,22168536.861,22168535.436
0.017,G05,127951135.552,99702189.419,0,24348291.835,24348291.945
0.017,G13,106419107.399,82923992.421,0,20250875.394,20250876.993
0.017,G15,112094160.551,87346102.265,0,21330806.475,21330807.471
0.017,G17,126269374.885,98391716.149,0,24028260.810,24028260.736
0.017,G18,128554946.714,100172682.398,0,24463190.614,24463192.259
0.017,G20,119618852.221,93209470.306,0,22762709.246,22762711.254
0.017,G24,127663444.100,99478014.208,0,24293547.905,24293545.999
0.017,G28,110570998.626,86159223.559,0,21040954.055,21040955.927
0.017,G30,116578828.760,90840660.161,0,22184207.207,22184205.580
0.025,G05,128057681.398,99785212.138,0,24368566.801,24368566.975
0.025,G13,106425157.573,82928706.846,0,20252026.727,20252028.267
0.025,G15,112045714.933,87308352.435,0,21321587.474,21321588.553
0.025,G17,126174556.253,98317831.581,0,24010217.306,24010217.178
0.025,G18,128501033.189,100130671.902,0,24452931.550,24452932.803
0.025,G20,119681967.285,93258650.849,0,22774720.110,22774721.866
0.025,G24,127560364.637,99397692.597,0,24273932.517,24273930.683
0.025,G28,110601385.180,86182901.393,0,21046736.501,21046738.320
0.025,G30,116661406.344,90905006.327,0,22199921.121,22199919.566
0.033,G05,128164322.861,99868309.394,0,24388860.068,24388860.046
0.033,G13,106431768.840,82933858.485,0,20253284.848,20253286.385
0.033,G15,111997767.960,87270991.163,0,21312463.486,21312464.493
0.033,G17,126079934.543,98244100.404,0,23992211.155,23992211.271
0.033,G18,128447537.073,100088986.571,0,24442750.727,24442753.253
0.033,G20,119745538.151,93308186.571,0,22786817.514,22786819.130
0.033,G24,127457378.023,99317443.276,0,24254334.958,24254332.988
0.033,G28,110632233.256,86206938.860,0,21052606.886,21052608.513
0.033,G30,116744215.211,90969532.709,0,22215679.153,22215677.605
0.042,G05,128271056.283,99951478.290,0,24409170.876,24409170.664
0.042,G13,106438941.003,82939447.187,0,20254649.659,20254651.202
0.042,G15,111950320.387,87234019.039,0,21303434.553,21303435.485
0.042,G17,125985511.703,98170524.202,0,23974242.882,23974242.976
0.042,G18,128394459.268,100047627.250,0,24432650.495,24432652.989
0.042,G20,119809562.170,93358075.400,0,22799001.059,22799002.436
0.042,G24,127354485.413,99237267.249,0,24234754.970,24234753.098
0.042,G28,110663540.651,86231334.233,0,21058564.531,21058566.172
0.042,G30,116827253.619,91034237.957,0,22231480.805,22231479.247
0.050,G05,128377880.440,100034717.900,0,24429498.732,24429498.756
0.050,G13,106446676.094,82945474.541,0,20256121.509,20256123.112
0.050,G15,111903375.855,87197438.885,0,21294501.238,21294502.231
0.050,G17,125891292.722,98097106.879,0,23956313.767,23956313.700
0.050,G18,128341803.164,100006596.532,0,24422630.123,24422632.319
0.050,G20,119874038.130,93408316.399,0,22811270.477,22811271.667
0.050,G24,127251689.491,99157166.575,0,24215193.522,24215191.351
0.050,G28,110695307.682,86256087.777,0,21064609.600,21064611.290
0.050,G30,116910522.012,91099122.416,0,22247326.268,22247324.743
0.058,G05,128484789.311,100118023.512,0,24449842.806,24449842.998
0.058,G13,106454971.111,82951938.191,0,20257699.975,20257701.577
0.058,G15,111856932.549,87161249.294,0,21285663.362,21285664.358
0.058,G17,125797276.603,98023847.599,0,23938423.018,23938422.974
0.058,G18,128289566.788,99965892.873,0,24412689.889,24412691.799
0.058,G20,119938959.419,93458904.401,0,22823624.897,22823625.730
0.058,G24,127148987.973,99077139.439,0,24195650.322,24195647.795
0.058,G28,110727529.608,86281195.774,0,21070741.259,21070742.860
0.058,G30,116994015.702,91164182.422,0,22263214.403,22263213.052
0.067,G05,128591783.408,100201395.544,0,24470202.833,24470202.959
0.067,G13,106463829.486,82958840.835,0,20259385.687,20259387.288
0.067,G15,111810995.482,87125454.175,0,21276921.897,21276922.819
0.067,G17,125703469.924,97950751.559,0,23920572.409,23920572.151
0.067,G18,128237755.294,99925520.294,0,24402830.928,24402832.423
0.067,G20,120004327.501,93509840.539,0,22836063.763,22836064.583
0.067,G24,127046385.288,98997189.367,0,24176125.736,24176123.010
0.067,G28,110760208.318,86306659.711,0,21076959.729,21076961.394
0.067,G30,117077736.947,91229419.740,0,22279146.175,22279144.658
0.075,G05,128698855.851,100284828.623,0,24490578.287,24490578.298
0.075,G13,106473247.784,82966179.779,0,20261177.977,20261179.554
0.075,G15,111765562.616,87090051.957,0,21268276.253,21268277.202
0.075,G17,125609871.950,97877818.122,0,23902761.189,23902760.876
0.075,G18,128186366.332,99885476.914,0,24393051.445,24393053.239
0.075,G20,120070135.633,93561119.593,0,22848586.494,22848587.394
0.075,G24,126943878.948,98917314.292,0,24156619.076,24156616.637
0.075,G28,110793338.538,86332475.475,0,21083264.164,21083265.871
0.075,G30,117161680.525,91294830.317,0,22295119.877,22295118.613
0.083,G05,128806006.436,100368322.591,0,24510968.428,24510968.560
0.083,G13,106483229.215,82973957.524,0,20263077.405,20263078.927
0.083,G15,111720638.366,87055046.054,0,21259727.469,21259728.390
0.083,G17,125516488.143,97805051.565,0,23884990.677,23884990.279
0.083,G18,128135404.077,99845766.079,0,24383353.371,24383355.581
0.083,G20,120136384.368,93612741.962,0,22861193.219,22861193.961
0.083,G24,126841472.970,98837517.491,0,24137131.661,24137129.267
0.083,G28,110826921.344,86358643.900,0,21089654.738,21089656.425
0.083,G30,117245848.128,91360415.436,0,22311136.585,22311135.140
0.092,G05,128913231.099,100451874.278,0,24531372.466,24531372.581
0.092,G13,106493772.061,82982172.747,0,20265083.608,20265085.152
