         x                y             f0_f2   
    0.000000E+00       90.000000        2.020500
    0.000000E+00       85.000000        2.210480
    0.000000E+00       80.000000        2.717932
    0.000000E+00       75.000000        3.331314
    0.000000E+00       70.000000        3.815838
    0.000000E+00       65.000000        4.112549
    0.000000E+00       60.000000        4.239452
    0.000000E+00       55.000000        4.364516
    0.000000E+00       50.000000        4.511409
    0.000000E+00       45.000000        4.634547
    0.000000E+00       40.000000        4.739691
    0.000000E+00       35.000000        4.831739
    0.000000E+00       30.000000        4.923799
    0.000000E+00       25.000000        5.017892
    0.000000E+00       20.000000        5.160807
    0.000000E+00       15.000000        5.459597
    0.000000E+00       10.000000        6.054711
    0.000000E+00        5.000000        6.521408
    0.000000E+00    0.000000E+00        6.350588
    0.000000E+00       -5.000000        5.832963
    0.000000E+00      -10.000000        6.523614
    0.000000E+00      -15.000000        6.872735
    0.000000E+00      -20.000000        6.929406
    0.000000E+00      -25.000000        6.625329
    0.000000E+00      -30.000000        6.111077
    0.000000E+00      -35.000000        5.649501
    0.000000E+00      -40.000000        5.342305
    0.000000E+00      -45.000000        5.132934
    0.000000E+00      -50.000000        5.014086
    0.000000E+00      -55.000000        4.912907
    0.000000E+00      -60.000000        4.884263
    0.000000E+00      -65.000000        4.913101
    0.000000E+00      -70.000000        5.048469
    0.000000E+00      -75.000000        5.107256
    0.000000E+00      -80.000000        5.071053
    0.000000E+00      -85.000000        5.034776
    0.000000E+00      -90.000000        5.020269
        5.000000       90.000000        2.020500
        5.000000       85.000000        2.237397
        5.000000       80.000000        2.747741
        5.000000       75.000000        3.291062
        5.000000       70.000000        3.820247
        5.000000       65.000000        4.142883
        5.000000       60.000000        4.267597
        5.000000       55.000000        4.378560
        5.000000       50.000000        4.516157
        5.000000       45.000000        4.637010
        5.000000       40.000000        4.736478
        5.000000       35.000000        4.828943
        5.000000       30.000000        4.914837
        5.000000       25.000000        5.013187
        5.000000       20.000000        5.161334
        5.000000       15.000000        5.531723
        5.000000       10.000000        6.143348
        5.000000        5.000000        6.545116
        5.000000    0.000000E+00        6.266181
        5.000000       -5.000000        6.059752
        5.000000      -10.000000        6.644384
        5.000000      -15.000000        6.949575
        5.000000      -20.000000        6.971641
        5.000000      -25.000000        6.637310
        5.000000      -30.000000        6.106032
        5.000000      -35.000000        5.638874
        5.000000      -40.000000        5.326458
        5.000000      -45.000000        5.115544
        5.000000      -50.000000        4.990787
        5.000000      -55.000000        4.887676
        5.000000      -60.000000        4.861098
        5.000000      -65.000000        4.889607
        5.000000      -70.000000        5.045826
        5.000000      -75.000000        5.096940
        5.000000      -80.000000        5.063273
        5.000000      -85.000000        5.030312
        5.000000      -90.000000        5.020269
       10.000000       90.000000        2.020500
       10.000000       85.000000        2.261565
       10.000000       80.000000        2.769395
       10.000000       75.000000        3.193813
       10.000000       70.000000        3.752607
       10.000000       65.000000        4.140382
       10.000000       60.000000        4.259455
       10.000000       55.000000        4.381720
       10.000000       50.000000        4.516305
       10.000000       45.000000        4.636417
       10.000000       40.000000        4.731295
       10.000000       35.000000        4.824277
       10.000000       30.000000        4.904871
       10.000000       25.000000        5.007711
       10.000000       20.000000        5.166504
       10.000000       15.000000        5.610292
       10.000000       10.000000        6.255726
       10.000000        5.000000        6.605893
       10.000000    0.000000E+00        6.205882
       10.000000       -5.000000        6.278335
       10.000000      -10.000000        6.773147
       10.000000      -15.000000        7.035929
       10.000000      -20.000000        7.012383
       10.000000      -25.000000        6.626732
       10.000000      -30.000000        6.080264
       10.000000      -35.000000        5.623934
       10.000000      -40.000000        5.306437
       10.000000      -45.000000        5.099133
       10.000000      -50.000000        4.966285
       10.000000      -55.000000        4.866885
       10.000000      -60.000000        4.842877
       10.000000      -65.000000        4.888618
       10.000000      -70.000000        5.035521
       10.000000      -75.000000        5.086627
       10.000000      -80.000000        5.051634
       10.000000      -85.000000        5.025481
       10.000000      -90.000000        5.020269
       15.000000       90.000000        2.020500
       15.000000       85.000000        2.283434
       15.000000       80.000000        2.785079
       15.000000       75.000000        3.042284
       15.000000       70.000000        3.655796
       15.000000       65.000000        4.087913
       15.000000       60.000000        4.240707
       15.000000       55.000000        4.368939
       15.000000       50.000000        4.510897
       15.000000       45.000000        4.632053
       15.000000       40.000000        4.723552
       15.000000       35.000000        4.817742
       15.000000       30.000000        4.893981
       15.000000       25.000000        5.001903
       15.000000       20.000000        5.172811
       15.000000       15.000000        5.691243
       15.000000       10.000000        6.393148
       15.000000        5.000000        6.708005
       15.000000    0.000000E+00        6.169463
       15.000000       -5.000000        6.490640
       15.000000      -10.000000        6.899862
       15.000000      -15.000000        7.117264
       15.000000      -20.000000        7.052556
       15.000000      -25.000000        6.609879
       15.000000      -30.000000        6.050830
       15.000000      -35.000000        5.604930
       15.000000      -40.000000        5.282933
       15.000000      -45.000000        5.084205
       15.000000      -50.000000        4.940491
       15.000000      -55.000000        4.847024
       15.000000      -60.000000        4.825254
       15.000000      -65.000000        4.890231
       15.000000      -70.000000        5.018705
       15.000000      -75.000000        5.069292
       15.000000      -80.000000        5.038828
       15.000000      -85.000000        5.020370
       15.000000      -90.000000        5.020269
       20.000000       90.000000        2.020500
       20.000000       85.000000        2.302993
       20.000000       80.000000        2.778514
       20.000000       75.000000        2.859267
       20.000000       70.000000        3.532685
       20.000000       65.000000        4.007679
       20.000000       60.000000        4.205441
       20.000000       55.000000        4.353888
       20.000000       50.000000        4.498371
       20.000000       45.000000        4.619689
       20.000000       40.000000        4.714214
       20.000000       35.000000        4.806448
       20.000000       30.000000        4.886433
       20.000000       25.000000        5.003094
       20.000000       20.000000        5.210911
       20.000000       15.000000        5.785599
       20.000000       10.000000        6.542623
       20.000000        5.000000        6.844039
       20.000000    0.000000E+00        6.156358
       20.000000       -5.000000        6.697395
       20.000000      -10.000000        7.017021
       20.000000      -15.000000        7.205153
       20.000000      -20.000000        7.104319
       20.000000      -25.000000        6.588559
       20.000000      -30.000000        6.015626
       20.000000      -35.000000        5.581820
       20.000000      -40.000000        5.254633
       20.000000      -45.000000        5.069648
       20.000000      -50.000000        4.913616
       20.000000      -55.000000        4.828465
       20.000000      -60.000000        4.808297
       20.000000      -65.000000        4.894772
       20.000000      -70.000000        5.004231
       20.000000      -75.000000        5.045718
       20.000000      -80.000000        5.024256
       20.000000      -85.000000        5.015022
       20.000000      -90.000000        5.020269
       25.000000       90.000000        2.020500
       25.000000       85.000000        2.319909
       25.000000       80.000000        2.663872
       25.000000       75.000000        2.659912
       25.000000       70.000000        3.385145
       25.000000       65.000000        3.909975
       25.000000       60.000000        4.172279
       25.000000       55.000000        4.348081
       25.000000       50.000000        4.479979
       25.000000       45.000000        4.602739
       25.000000       40.000000        4.701583
       25.000000       35.000000        4.792162
       25.000000       30.000000        4.880285
       25.000000       25.000000        5.012423
       25.000000       20.000000        5.298605
       25.000000       15.000000        5.925525
       25.000000       10.000000        6.648313
       25.000000        5.000000        6.823973
       25.000000    0.000000E+00        6.389373
       25.000000       -5.000000        6.851842
       25.000000      -10.000000        7.104190
       25.000000      -15.000000        7.254730
       25.000000      -20.000000        7.112036
       25.000000      -25.000000        6.562221
       25.000000      -30.000000        5.982227
       25.000000      -35.000000        5.551224
       25.000000      -40.000000        5.221264
       25.000000      -45.000000        5.055580
       25.000000      -50.000000        4.885542
       25.000000      -55.000000        4.810514
       25.000000      -60.000000        4.791868
       25.000000      -65.000000        4.902192
       25.000000      -70.000000        4.991572
       25.000000      -75.000000        5.024024
       25.000000      -80.000000        5.010889
       25.000000      -85.000000        5.009492
       25.000000      -90.000000        5.020269
       30.000000       90.000000        2.020500
       30.000000       85.000000        2.334188
       30.000000       80.000000        2.552664
       30.000000       75.000000        2.493598
       30.000000       70.000000        3.199184
       30.000000       65.000000        3.799095
       30.000000       60.000000        4.115044
       30.000000       55.000000        4.304308
       30.000000       50.000000        4.453232
       30.000000       45.000000        4.580328
       30.000000       40.000000        4.684741
       30.000000       35.000000        4.775058
       30.000000       30.000000        4.872787
       30.000000       25.000000        5.023553
       30.000000       20.000000        5.386288
       30.000000       15.000000        6.079321
       30.000000       10.000000        6.769525
       30.000000        5.000000        6.784010
       30.000000    0.000000E+00        6.585356
       30.000000       -5.000000        6.967030
       30.000000      -10.000000        7.180210
       30.000000      -15.000000        7.289655
       30.000000      -20.000000        7.081123
       30.000000      -25.000000        6.527667
       30.000000      -30.000000        5.962300
       30.000000      -35.000000        5.527177
       30.000000      -40.000000        5.217419
       30.000000      -45.000000        5.039486
       30.000000      -50.000000        4.869011
       30.000000      -55.000000        4.796794
       30.000000      -60.000000        4.776627
       30.000000      -65.000000        4.911269
       30.000000      -70.000000        4.982050
       30.000000      -75.000000        5.004385
       30.000000      -80.000000        4.997785
       30.000000      -85.000000        5.003807
       30.000000      -90.000000        5.020269
       35.000000       90.000000        2.020500
       35.000000       85.000000        2.345838
       35.000000       80.000000        2.440692
       35.000000       75.000000        2.372438
       35.000000       70.000000        2.968514
       35.000000       65.000000        3.676679
       35.000000       60.000000        4.031733
       35.000000       55.000000        4.273131
       35.000000       50.000000        4.419767
       35.000000       45.000000        4.550087
       35.000000       40.000000        4.662187
       35.000000       35.000000        4.754140
       35.000000       30.000000        4.863435
       35.000000       25.000000        5.030944
       35.000000       20.000000        5.471157
       35.000000       15.000000        6.239028
       35.000000       10.000000        6.894166
       35.000000        5.000000        6.721870
       35.000000    0.000000E+00        6.741597
       35.000000       -5.000000        7.049446
       35.000000      -10.000000        7.249721
       35.000000      -15.000000        7.331058
       35.000000      -20.000000        7.053584
       35.000000      -25.000000        6.489257
       35.000000      -30.000000        5.940463
       35.000000      -35.000000        5.510867
       35.000000      -40.000000        5.215420
       35.000000      -45.000000        5.023383
       35.000000      -50.000000        4.862350
       35.000000      -55.000000        4.791440
       35.000000      -60.000000        4.793480
       35.000000      -65.000000        4.915080
       35.000000      -70.000000        4.975513
